"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","b_rbi","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_gnd_into_dp","b_hit_by_pitch","b_intent_walk","b_sac_bunt","b_sac_fly","xba","xslg","woba","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Colás, Oscar",693049,2023,24,245,263,53,39,9,0,5,71,12,27,4.6,".216",".314",".257","0.571","0.098","19","77","3","4","5","2","1","2","2",".223",".347",".249",".266",".264",".125","88.9","7.1",28.1,14,7.9,5.1,23,40.4,"101.394884419","94.790742442",31.8,53.9
"Semien, Marcus",543760,2023,32,670,753,185,112,40,4,29,110,72,14.6,9.6,".276",".478",".348","0.826","0.202","100","320","3","14","5","5","1","0","5",".258",".434",".354",".335",".334",".175","88.4","19.1",37.5,37,6.5,6.9,23.5,37,"98.08417844","93.189258191",18,47.1
"Stallings, Jacob",607732,2023,33,241,276,46,29,14,0,3,67,27,24.3,9.8,".191",".286",".278","0.564","0.095","20","69","0","0","9","3","0","3","2",".191",".309",".256",".265",".279",".119","89.7","9.1",28.5,10,5.6,5.6,21.2,40.2,"98.748890698","93.710206784",22.8,40.9
"Yoshida, Masataka",807799,2023,29,537,580,155,104,33,3,15,81,34,14,5.9,".289",".445",".338","0.783","0.156","72","239","0","8","20","7","0","0","2",".268",".428",".339",".325",".319",".160","89","3.9",29.5,30,6.6,3.9,25.8,40.6,"100.123813246","94.28056556",18.3,43.3
"Verdugo, Alex",657077,2023,27,546,602,144,89,37,5,13,93,45,15.4,7.5,".264",".421",".324","0.745","0.157","54","230","3","5","11","6","1","0","5",".274",".420",".322",".331",".337",".146","89.2","8.8",35.4,23,5,6.3,28.4,37.6,"99.116993728","93.701176864",15.6,40.9
"Espinal, Santiago",669289,2023,28,230,254,57,41,14,0,2,36,18,14.2,7.1,".248",".335",".310","0.645","0.087","25","77","1","2","5","3","1","2","1",".255",".341",".285",".295",".318",".087","87","11.4",33,2,1,5.1,28.4,29.4,"96.258875464","92.131124845",17.6,44.3
"Rengifo, Luis",650859,2023,26,394,445,104,69,15,4,16,82,41,18.4,9.2,".264",".444",".339","0.783","0.180","51","175","4","6","3","6","0","0","4",".242",".405",".339",".323",".324",".163","89.1","11",29.7,24,7.6,5.1,24.4,36.9,"98.941377179","93.617089135",24.5,50.1
"France, Ty",664034,2023,28,587,665,147,103,32,0,12,117,43,17.6,6.5,".250",".366",".337","0.703","0.116","58","215","0","1","25","34","0","0","1",".264",".421",".315",".340",".350",".156","87.5","13.7",36.9,32,6.8,5.1,28.7,38.6,"99.277871319","93.765945224",21.9,53.2
"Soto, Juan",665742,2023,24,568,708,156,88,32,1,35,129,132,18.2,18.6,".275",".519",".410","0.929","0.244","109","295","5","12","18","2","11","1","5",".279",".539",".395",".407",".416",".260","93.2","6.7",28.5,58,13,7.6,23.4,55.3,"104.484350409","97.215905977",20.5,35.8
"Ford, Mike",645801,2023,30,219,251,50,28,6,0,16,81,24,32.3,9.6,".228",".475",".323","0.798","0.247","34","104","0","0","4","7","0","0","1",".194",".412",".343",".309",".294",".219","88.8","21",33.1,24,17.3,5,18,44.6,"101.141524429","94.781977914",30.4,42.7
"Kepler, Max",596146,2023,30,438,491,114,66,22,2,24,106,45,21.6,9.2,".260",".484",".332","0.816","0.224","66","212","1","1","9","4","0","0","4",".266",".507",".348",".362",".338",".241","91.9","14.7",35.7,41,12.2,8.6,23.2,47.9,"102.056672262","95.65094244",19.8,47.5
